uid,gsdb,manufacturer,model,combustor,engine_type,bpr,opr,rated_thrust,data_status,data_superseded,superseded_uid,test_engine,icao_compliant_data,engine_status,engine_status_date,eihc_take_off,eihc_climb,eihc_approach,eihc_idle,hc_number_tests,hc_number_engines,hc_dp_foo_average,hc_dp_foo_sigma,hc_dp_foo_min,hc_dp_foo_max,hc_characteristic,hc_margin,hc_total_mass,eico_take_off,eico_climb,eico_approach,eico_idle,eico_number_tests,eico_number_engines,co_dp_foo_average,co_dp_foo_sigma,co_dp_foo_min,co_dp_foo_max,co_characteristic,co_margin,co_total_mass,einox_take_off,einox_climb,einox_approach,einox_idle,nox_number_tests,nox_number_engines,nox_dp_foo_average,nox_dp_foo_sigma,nox_dp_foo_min,nox_dp_foo_max,nox_characteristic,nox_original_margin,nox_caep2_margin,nox_caep4_margin,nox_caep6_margin,nox_caep8_margin,nox_total_mass,sn_take_off,sn_climb,sn_approach,sn_idle,sn_number_tests,sn_number_engines,sn_max,sn_sigma,sn_range_min,sn_range_max,sn_characteristic,sn_margin,fuel_specification,fuel_hc_ratio_min,fuel_hc_ratio_max,fuel_aromatic_min,fuel_aromatic_max,fuel_flow_take_off,fuel_flow_climb,fuel_flow_approach,Fuel Flow Idle (kg/sec),fuel_lto_cycle,loads_extraction,loads_extraction_power_setting,bleed_percentage,bleed_percentage_power_setting,Ambient Baro Min (kPa),Ambient Baro Max (kPa),ambiant_temperature_min,ambiant_temperature_max,ambiant_humidity_min,ambiant_humidity_max,test_organization,test_location,initial_test_date,Final Test Date,fuel_venting_compliant,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8,engine,thrust_take_off,thrust_climb,thrust_approach,thrust_idle
14HN009,14.0,Honeywell,HTF7350 (AS907-2-1A),SABER-1,MTF,4.2,22.88,33.0,C,Yes,01P14HN011,DTEPS,Yes,,,0.05,0.06,0.12,1.0,10.0,3.0,2.45,0.54,1.89,3.49,2.85,14.6,81.0,0.58,0.59,5.98,30.9,10.0,3.0,75.55,3.83,69.73,80.58,81.71,69.2,2501.0,18.79,16.64,9.03,3.98,10.0,3.0,45.47,2.28,39.57,47.26,48.16,56.2,70.2,71.6,72.3,76.9,1503.0,13.6,10.6,0.8,1.6,10.0,3.0,13.6,1.57,9.0,13.6,15.0,46.6,Jet A,13.5,13.7,16.9,20.5,0.373,0.309,0.107,0.048,157.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14930(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-2-1A Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,33.0,28.05,9.9,2.31
14HN006,14.0,Honeywell,HTF7500E (AS907-3-1E-A1),SABER-1,MTF,4.2,21.05,29.4,C,Yes,01P14HN014,DTEPS,Yes,,,0.06,0.07,0.12,1.31,10.0,3.0,3.52,0.68,2.55,4.63,4.11,21.0,104.0,0.56,0.73,6.83,34.64,10.0,3.0,94.11,3.95,88.0,99.4,101.79,86.3,2786.0,17.11,15.59,8.45,3.83,10.0,3.0,42.89,2.1,37.49,44.6,45.43,55.3,69.2,69.8,70.1,74.1,1263.0,13.6,8.8,0.7,1.74,10.0,3.0,13.6,1.59,9.0,13.6,15.0,45.2,Jet A,13.5,13.7,16.9,20.5,0.32,0.267,0.097,0.048,147.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,29.4,24.99,8.819999999999999,2.0580000000000003
14HN007,14.0,Honeywell,HTF7500E (AS907-3-1E-A2),SABER-1,MTF,4.2,22.3,31.61,C,Yes,01P14HN015,DTEPS,Yes,,,0.05,0.06,0.12,1.11,10.0,3.0,2.87,0.67,1.91,3.55,3.35,17.1,91.0,0.55,0.63,6.24,31.03,10.0,3.0,80.9,4.51,74.1,86.71,87.5,74.1,2557.0,18.01,16.22,8.84,3.94,10.0,3.0,44.31,2.22,38.67,46.11,46.94,55.5,69.3,70.4,71.0,75.3,1400.0,13.6,10.6,0.76,1.77,10.0,3.0,13.6,1.55,9.2,13.6,15.0,46.1,Jet A,13.5,13.7,16.9,20.5,0.349,0.289,0.102,0.049,154.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,31.61,26.868499999999997,9.482999999999999,2.2127000000000003
14HN008,14.0,Honeywell,HTF7500E (AS907-3-1E-A3),SABER-1,MTF,4.2,23.57,33.83,C,Yes,01P14HN016,DTEPS,Yes,,,0.05,0.06,0.12,0.84,10.0,3.0,2.12,0.48,1.45,2.7,2.48,12.6,72.0,0.56,0.57,5.7,28.08,10.0,3.0,70.5,4.83,63.5,76.52,76.25,64.6,2370.0,19.06,16.88,9.23,4.04,10.0,3.0,45.94,2.33,40.04,47.74,48.66,55.8,69.8,71.3,72.1,76.8,1552.0,13.6,10.6,0.8,1.6,10.0,3.0,13.6,1.57,9.0,13.6,15.0,47.0,Jet A,13.5,13.7,16.9,20.5,0.378,0.312,0.108,0.05,161.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,33.83,28.755499999999998,10.149,2.3681
18HN010,18.0,Honeywell,HTF7700L (AS907-2-1S),SABER-1,MTF,4.2,23.29,34.03,C,Yes,01P18HN013,DTEPS,Yes,,,0.05,0.06,0.11,0.95,10.0,3.0,2.28,0.44,1.64,2.93,2.66,13.6,77.0,0.6,0.58,5.72,29.62,10.0,3.0,70.71,4.03,64.68,75.93,76.48,64.8,2402.0,19.4,16.96,9.21,4.01,10.0,3.0,46.12,2.32,40.12,47.91,48.85,56.4,70.5,72.1,73.0,77.7,1570.0,13.6,11.2,0.98,1.77,10.0,3.0,13.6,1.57,9.0,13.6,15.0,53.0,Jet A,13.5,13.7,16.9,20.5,0.386,0.319,0.109,0.048,159.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-15565(29)-1 ,Exhaust Smoke and Gaseous Emissions Similarity Analysis for the AS907-2-1S Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,34.03,28.9255,10.209,2.3821000000000003
01P14HN011,14.0,Honeywell,AS907-2-1A (HTF7350),SABER-1,MTF,4.2,22.88,33.0,C,,,DTEPS,Yes,,,0.05,0.06,0.12,1.0,10.0,3.0,2.45,0.54,1.89,3.49,2.85,14.6,81.0,0.58,0.59,5.98,30.9,10.0,3.0,75.55,3.83,69.73,80.58,81.71,69.2,2501.0,18.79,16.64,9.03,3.98,10.0,3.0,45.47,2.28,39.57,47.26,48.16,56.2,70.2,71.6,72.3,76.9,1503.0,13.6,10.6,0.8,1.6,10.0,3.0,13.6,1.57,9.0,13.6,15.0,46.6,Jet A,13.5,13.7,16.9,20.5,0.373,0.309,0.107,0.048,157.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14930(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-2-1A Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,33.0,28.05,9.9,2.31
01P11HN012,11.0,Honeywell,AS907-2-1G (HTF7250G),SABER-1,MTF,4.2,22.58,32.86,C,,,DTEPS,Yes,,,0.05,0.06,0.12,0.99,10.0,3.0,2.49,0.48,1.82,3.24,2.93,15.0,82.0,0.57,0.6,6.07,30.48,10.0,3.0,76.66,4.3,70.64,82.76,83.45,70.7,2519.0,18.43,16.44,8.96,3.965,10.0,3.0,45.33,2.29,39.59,47.27,48.13,63.2,70.6,72.0,72.7,77.3,1490.0,13.6,10.6,0.8,1.8,10.0,3.0,13.6,1.5,9.2,13.6,15.0,46.6,Jet A,13.5,13.7,16.9,20.5,0.372,0.308,0.107,0.049,158.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14477A,Exhaust Smoke and Gaseous Emissions tests of the AS907-1-1A and AS907-2-1G Turbofan Engines,"Reported using humidity h=0.00634 in accordance with ICAO Annex 16, Vol. II, 3rd Ed., section 7.1.3.","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,,32.86,27.930999999999997,9.857999999999999,2.3002000000000002
01P18HN013,18.0,Honeywell,AS907-2-1S (HTF7700L),SABER-1,MTF,4.2,23.29,34.03,C,,,DTEPS,Yes,,,0.05,0.06,0.11,0.95,10.0,3.0,2.28,0.44,1.64,2.93,2.66,13.6,77.0,0.6,0.58,5.72,29.62,10.0,3.0,70.71,4.03,64.68,75.93,76.48,64.8,2402.0,19.4,16.96,9.21,4.01,10.0,3.0,46.12,2.32,40.12,47.91,48.85,56.4,70.5,72.1,73.0,77.7,1570.0,13.6,11.2,0.98,1.77,10.0,3.0,13.6,1.57,9.0,13.6,15.0,53.0,Jet A,13.5,13.7,16.9,20.5,0.386,0.319,0.109,0.048,159.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-15565(29)-1 ,Exhaust Smoke and Gaseous Emissions Similarity Analysis for the AS907-2-1S Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,34.03,28.9255,10.209,2.3821000000000003
01P14HN014,14.0,Honeywell,AS907-3-1E-A1 (HTF7500E),SABER-1,MTF,4.2,21.05,29.4,C,,,DTEPS,Yes,,,0.06,0.07,0.12,1.31,10.0,3.0,3.52,0.68,2.55,4.63,4.11,21.0,104.0,0.56,0.73,6.83,34.64,10.0,3.0,94.11,3.95,88.0,99.4,101.79,86.3,2786.0,17.11,15.59,8.45,3.83,10.0,3.0,42.89,2.1,37.49,44.6,45.43,55.3,69.2,69.8,70.1,74.1,1263.0,13.6,8.8,0.7,1.74,10.0,3.0,13.6,1.59,9.0,13.6,15.0,45.2,Jet A,13.5,13.7,16.9,20.5,0.32,0.267,0.097,0.048,147.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,29.4,24.99,8.819999999999999,2.0580000000000003
01P14HN015,14.0,Honeywell,AS907-3-1E-A2 (HTF7500E),SABER-1,MTF,4.2,22.3,31.61,C,,,DTEPS,Yes,,,0.05,0.06,0.12,1.11,10.0,3.0,2.87,0.67,1.91,3.55,3.35,17.1,91.0,0.55,0.63,6.24,31.03,10.0,3.0,80.9,4.51,74.1,86.71,87.5,74.1,2557.0,18.01,16.22,8.84,3.94,10.0,3.0,44.31,2.22,38.67,46.11,46.94,55.5,69.3,70.4,71.0,75.3,1400.0,13.6,10.6,0.76,1.77,10.0,3.0,13.6,1.55,9.2,13.6,15.0,46.1,Jet A,13.5,13.7,16.9,20.5,0.349,0.289,0.102,0.049,154.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,31.61,26.868499999999997,9.482999999999999,2.2127000000000003
01P14HN016,14.0,Honeywell,AS907-3-1E-A3 (HTF7500E),SABER-1,MTF,4.2,23.57,33.83,C,,,DTEPS,Yes,,,0.05,0.06,0.12,0.84,10.0,3.0,2.12,0.48,1.45,2.7,2.48,12.6,72.0,0.56,0.57,5.7,28.08,10.0,3.0,70.5,4.83,63.5,76.52,76.25,64.6,2370.0,19.06,16.88,9.23,4.04,10.0,3.0,45.94,2.33,40.04,47.74,48.66,55.8,69.8,71.3,72.1,76.8,1552.0,13.6,10.6,0.8,1.6,10.0,3.0,13.6,1.57,9.0,13.6,15.0,47.0,Jet A,13.5,13.7,16.9,20.5,0.378,0.312,0.108,0.05,161.0,0.0,,0,,96.44,97.59,296.0,313.0,0.0013,0.0125,Honeywell,"Phoenix, AZ",2010-04-07,2010-07-29,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,33.83,28.755499999999998,10.149,2.3681
1IA001,1.0,International Aero Engines,V2500-A1,,MTF,5.3,29.8,111.2,C,,,NME,Yes,Out of production,,0.1,0.11,0.15,0.22,3.0,1.0,0.65,,,,1.0,5.1,73.0,0.55,0.55,0.77,7.76,3.0,1.0,14.8,,,,18.2,15.4,1656.0,37.13,30.82,13.45,5.91,3.0,1.0,69.3,,,,80.3,80.7,100.8,120.5,136.9,161.1,7716.0,,,,,3.0,1.0,3.5,,,,4.5,19.6,Jet A,1.87,1.87,,,1.113,0.924,0.334,0.124,442.0,0.0,,4.5,0.07,101.3,101.3,286.0,286.0,0.0048,0.0048,Pratt & Whitney,"East Hartford, CT",1988-06-02,1988-06-02,,V2500 renamed V2500-A1 2.Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF,,,,,,,,,111.2,94.52,33.36,7.784000000000001
3IA006,3.0,International Aero Engines,V2522-A5,,MTF,4.88,25.6,102.66,C,,,NME,Yes,Out of production,,0.041,0.041,0.062,0.103,3.0,1.0,0.29,,,,0.5,2.3,30.0,0.57,0.67,2.6,13.42,3.0,1.0,26.9,,,,33.0,28.0,2760.0,24.5,20.8,8.7,4.5,3.0,1.0,46.0,,,,53.3,58.5,73.1,88.9,101.1,121.3,4720.0,5.4,7.5,4.0,2.6,3.0,1.0,9.0,,,,11.6,49.4,Jet A,1.9,1.9,,,0.971,0.817,0.311,0.118,407.0,0.0,,6.2 / 5.5 ,7% / 30%,101.0,101.8,288.0,296.0,0.0086,0.0114,Pratt & Whitney,"East Hartford, CT",1992-08-12,1992-08-13,,Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF,,,,,,,,,102.66,87.261,30.798,7.1862
