uid,gsdb,manufacturer,engine,model,combustor,engine_type,bpr,opr,rated_thrust,data_status,data_superseded,superseded_uid,test_engine,icao_compliant_data,engine_status,engine_status_date,hc_number_tests,hc_number_engines,hc_dp_foo_average,hc_dp_foo_sigma,hc_dp_foo_min,hc_dp_foo_max,hc_characteristic,hc_margin,hc_total_mass,eico_number_tests,eico_number_engines,co_dp_foo_average,co_dp_foo_sigma,co_dp_foo_min,co_dp_foo_max,co_characteristic,co_margin,co_total_mass,nox_number_tests,nox_number_engines,nox_dp_foo_average,nox_dp_foo_sigma,nox_dp_foo_min,nox_dp_foo_max,nox_characteristic,nox_total_mass,nox_original_margin,nox_caep2_margin,nox_caep4_margin,nox_caep6_margin,nox_caep8_margin,sn_number_tests,sn_number_engines,sn_max,sn_sigma,sn_range_min,sn_range_max,sn_characteristic,sn_margin,fuel_specification,fuel_hc_ratio_min,fuel_hc_ratio_max,fuel_aromatic_min,fuel_aromatic_max,fuel_lto_cycle,loads_extraction,loads_extraction_power_setting,bleed_percentage,bleed_percentage_power_setting,ambient_pressure_min,ambient_pressure_max,ambient_temperature_min,ambient_temperature_max,ambient_humidity_min,ambient_humidity_max,test_organization,test_location,initial_test_date,final_test_date,fuel_venting_compliant
1CM007,1,CFM International,CFM56-3,CFM56-3C-1,,TF,5.1,25.5,104.6,R,,,NME,Yes,Out of production,,3.0,1.0,2.76,0.38,2.33,3.06,4.3,21.7,287.0,3.0,1.0,53.5,2.85,51.2,56.7,65.7,55.7,5591.0,3.0,1.0,45.8,0.82,45.3,46.8,53.1,4810.0,58.3,72.9,88.8,100.9,121.3,3.0,1.0,7.7,0.76,6.8,8.3,9.9,42.4,Jet A,1.93,1.93,16.0,16.0,448.0,0.0,,0,,95.98,97.49,279.0,286.0,0.002,0.009,CFM56 Evaluation Engineering,Peebles Site IVD,1983-11-11,1983-11-14,
1CM006,1,CFM International,CFM56-3,CFM56-3C-1 (Rerated),,TF,5.1,21.3,82.29,R,,,NME,Yes,Out of production,,3.0,1.0,6.18,1.05,5.47,7.38,9.5,48.6,507.0,3.0,1.0,85.2,6.4,79.7,92.2,104.6,88.6,7002.0,3.0,1.0,39.0,0.78,38.2,40.0,45.2,3210.0,54.7,68.4,82.9,92.6,111.5,3.0,1.0,3.0,0.4,2.5,3.2,3.9,15.5,Jet A,1.93,1.93,16.0,16.0,372.0,0.0,,0,,95.98,97.49,279.0,286.0,0.002,0.009,CFM56 Evaluation Engineering,Peebles Site IVD,1983-11-11,1983-11-14,
1CM008,1,CFM International,,CFM56-5-A1,,TF,6.0,26.6,111.2,R,,,NME,Yes,Out of production,,3.0,1.0,2.6,0.5,2.3,3.2,4.0,20.4,285.0,3.0,1.0,27.9,0.7,27.0,28.4,34.2,29.0,3093.0,3.0,1.0,40.5,0.6,39.9,40.9,46.9,4506.0,50.4,63.0,76.3,86.7,103.5,3.0,1.0,15.8,2.0,13.5,17.3,20.3,88.5,Jet A,1.95,1.95,18.0,18.0,385.0,0.0,,0,,94.7,95.6,280.0,291.0,0.0026,0.0034,CFM56 Evaluation Engineering,Peebles Site IIIC,1986-11-19,1986-11-20,
1CM009,1,CFM International,CFM56-5A,CFM56-5A3,,TF,6.0,27.9,117.88,C,,,NME,Yes,Out of production,,3.0,1.0,2.3,0.5,1.8,2.8,3.5,18.1,268.0,3.0,1.0,25.1,0.6,24.2,25.5,30.8,26.1,2968.0,3.0,1.0,43.4,0.7,42.7,44.2,50.3,5110.0,52.5,65.6,79.0,89.8,106.7,3.0,1.0,16.8,2.0,14.6,18.8,21.6,95.6,Jet A,1.95,1.95,18.0,18.0,406.0,0.0,,0,,94.7,95.6,280.0,291.0,0.0026,0.0034,CFM56 Evaluation Engineering,Peebles Site IIIC,1986-11-19,1986-11-20,
4CM035,4,CFM International,CFM56-5A,CFM56-5A4,,TF,6.0,23.8,97.89,C,,,NME,Yes,Out of production,,3.0,1.0,3.3,,,,5.1,25.9,322.0,3.0,1.0,34.1,,,,41.9,35.5,3352.0,3.0,1.0,39.3,,,,45.6,3851.0,52.0,65.0,79.8,90.7,110.2,3.0,1.0,13.9,,,,17.9,75.1,Jet A,1.95,1.95,18.0,18.0,346.0,0.0,,0,,94.7,95.6,280.0,291.0,0.0026,0.0034,CFM56 Evaluation Engineering,Peebles Site IIIC,1986-11-19,1986-11-20,
4CM036,4,CFM International,CFM56-5A,CFM56-5A5,,TF,6.0,25.1,104.53,C,,,NME,Yes,Out of production,,3.0,1.0,2.8,,,,4.3,22.0,297.0,3.0,1.0,30.3,,,,37.2,31.5,3175.0,3.0,1.0,41.8,,,,48.5,4367.0,53.7,67.1,81.9,93.1,112.2,3.0,1.0,14.3,,,,18.4,78.7,Jet A,1.95,1.95,18.0,18.0,365.0,0.0,,0,,94.7,95.6,280.0,291.0,0.0026,0.0034,CFM56 Evaluation Engineering,Peebles Site IIIC,1986-11-19,1986-11-20,
2CM012,2,CFM International,CFM56-5B,CFM56-5B1,,TF,5.7,30.2,133.45,C,,,NME,Yes,Out of production,,3.0,1.0,4.6,0.29,4.28,4.86,7.1,36.1,617.0,3.0,1.0,40.5,0.34,40.1,40.8,49.7,42.1,5423.0,3.0,1.0,58.4,0.7,58.0,59.2,67.7,7783.0,67.4,84.3,100.4,114.0,134.0,3.0,1.0,10.5,1.4,8.9,11.4,13.5,61.7,Jet A,1.93,1.93,16.8,16.8,474.0,0.0,,0,,97.49,98.18,283.4,293.9,0.0067,0.0076,CFM56 Evaluation Engineering,Peebles Site IIIB,1992-10-07,1992-10-08,
2CM016,2,CFM International,CFM56-5B/2,CFM56-5B1/2,DAC,TF,5.7,30.2,133.45,C,,,NME,Yes,Out of production,,3.0,2.0,8.7,,8.1,9.4,11.3,57.7,1168.0,3.0,2.0,79.5,,73.9,85.2,90.6,76.8,10641.0,3.0,2.0,39.8,,38.8,40.8,43.8,5314.0,43.6,54.5,65.0,73.8,86.7,3.0,2.0,4.75,,4.5,5.0,5.6,25.6,Jet A,1.93,1.93,16.8,16.8,492.0,0.0,,0,,100.67,101.01,293.0,299.0,0.0114,0.0129,CFM56 Evaluation Engineering,PTO Site IIIC,1994-06-15,1994-07-01,
3CM020,3,CFM International,CFM56-5B/2P,CFM56-5B1/2P,DAC-II,TF,5.7,30.5,133.5,C,,,DTEPS,Yes,Out of production,,4.0,2.0,6.8,,6.2,7.4,8.8,44.9,891.0,4.0,2.0,70.5,,66.2,74.7,80.3,68.1,9197.0,4.0,2.0,37.9,,37.5,38.3,41.7,5024.0,41.3,51.6,61.3,69.5,81.6,4.0,2.0,2.1,,2.0,2.3,2.5,11.4,Jet A,1.93,1.93,17.33,17.33,473.0,0.0,,0,,98.5,99.74,284.6,292.4,0.0081,0.0115,GEAE Peebles + Techspace Aero (CFMI),"Peebles Ohio, USE + Liers, Belgium",1996-08-01,1996-09-01,
3CM023,3,CFM International,CFM56-5B/P,CFM56-5B1/P,,TF,5.7,30.47,133.45,C,,,NME,Yes,Out of production,,3.0,1.0,5.29,,,,8.2,41.8,710.0,3.0,1.0,28.05,,,,34.4,29.2,3738.0,3.0,1.0,53.38,,,,61.9,7112.0,61.3,76.7,91.1,103.3,121.2,3.0,1.0,5.4,,,,7.0,32.0,Jet A,1.92,1.92,19.0,19.0,448.0,0.0,,0,,98.2,99.6,281.5,283.6,0.0065,0.0075,CFM56-5B Eval Engineering,"Techspace-Aero Facility, Liege, Belgium",1995-11-01,,
