uid,gsdb,manufacturer,engine,model,combustor,engine_type,thrust,einox,eico,eihc,smoke_number,fuel_flow
3AL001,3,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,,MTF,2.0020000000000002,3.24,29.88,5.84,0.0,0.039
6AL021,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,Type 1,MTF,29.62,16.88,0.94,0.254,1.0,0.301
6AL021,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,Type 1,MTF,25.177,14.57,1.16,0.291,0.01,0.2527
6AL021,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,Type 1,MTF,8.886,6.78,4.28,0.696,0.01,0.0943
6AL021,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,Type 1,MTF,2.0734000000000004,3.36,26.32,4.953,0.01,0.0377
8AL025,8,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,Type 1,MTF,29.62,16.88,0.94,0.254,1.0,0.301
8AL025,8,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,Type 1,MTF,25.177,14.57,1.16,0.291,0.01,0.2527
8AL025,8,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,Type 1,MTF,8.886,6.78,4.28,0.696,0.01,0.0943
8AL025,8,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,Type 1,MTF,2.0734000000000004,3.36,26.32,4.953,0.01,0.0377
6AL022,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007C,Type 2,MTF,29.62,19.36,0.0,0.0,0.01,0.301
6AL022,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007C,Type 2,MTF,25.177,17.01,0.0,0.01,0.01,0.2527
6AL022,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007C,Type 2,MTF,8.886,6.62,2.02,0.23,0.01,0.0943
6AL022,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007C,Type 2,MTF,2.0734000000000004,3.2,35.07,5.75,0.01,0.0377
